product_id,product_distributer,product_name,product_category,product_reviews,product_review_sentiment,product_link
HA001,Amazon,Dyson V11,Home Appliances,"Cleans very well, easy to use.",Positive,https://www.amazon.com/Dyson-Outsize-Cordless-Vacuum-Cleaner/dp/B0C2J9VLFW/ref=sr_1_6?crid=16N1T6WWM5Y8J&dib=eyJ2IjoiMSJ9.oMkfzqkLVX8HTBifpNXW6uYV0aEvsHBEUDuQcCZIQyMjnUoBcsJ-mXueFUPTVTjt1wcYchEwgG67Qb3QA6mqCBJ9EtCiIx8oqL-jbs48V0GW_1XNmnS05GwxtRf3icu_iRC8TQJfpt2tVMMrhbJ9tdPlLAgHgB3Hx3qal_j5gEqrQ51pAWsh56VuB05Zj2YRdnUHgqgRF6N7uMkfExTROlFGQ8mPW66LqmhieSWqW9w.AoNtJzBEqr_dNuvn5lmQRNi8a7P55lQo3qYTuXW57ik&dib_tag=se&keywords=dyson%2B11&qid=1713869982&sprefix=dyson%2B11%2Caps%2C475&sr=8-6&th=1
HA001,Amazon,Dyson V11,Home Appliances,"The suction power is decent.",Neutral,https://www.amazon.com/Dyson-Outsize-Cordless-Vacuum-Cleaner/dp/B0C2J9VLFW/ref=sr_1_6?crid=16N1T6WWM5Y8J&dib=eyJ2IjoiMSJ9.oMkfzqkLVX8HTBifpNXW6uYV0aEvsHBEUDuQcCZIQyMjnUoBcsJ-mXueFUPTVTjt1wcYchEwgG67Qb3QA6mqCBJ9EtCiIx8oqL-jbs48V0GW_1XNmnS05GwxtRf3icu_iRC8TQJfpt2tVMMrhbJ9tdPlLAgHgB3Hx3qal_j5gEqrQ51pAWsh56VuB05Zj2YRdnUHgqgRF6N7uMkfExTROlFGQ8mPW66LqmhieSWqW9w.AoNtJzBEqr_dNuvn5lmQRNi8a7P55lQo3qYTuXW57ik&dib_tag=se&keywords=dyson%2B11&qid=1713869982&sprefix=dyson%2B11%2Caps%2C475&sr=8-6&th=1
HA001,Amazon,Dyson V11,Home Appliances,"Broke down after a month.",Negative,https://www.amazon.com/Dyson-Outsize-Cordless-Vacuum-Cleaner/dp/B0C2J9VLFW/ref=sr_1_6?crid=16N1T6WWM5Y8J&dib=eyJ2IjoiMSJ9.oMkfzqkLVX8HTBifpNXW6uYV0aEvsHBEUDuQcCZIQyMjnUoBcsJ-mXueFUPTVTjt1wcYchEwgG67Qb3QA6mqCBJ9EtCiIx8oqL-jbs48V0GW_1XNmnS05GwxtRf3icu_iRC8TQJfpt2tVMMrhbJ9tdPlLAgHgB3Hx3qal_j5gEqrQ51pAWsh56VuB05Zj2YRdnUHgqgRF6N7uMkfExTROlFGQ8mPW66LqmhieSWqW9w.AoNtJzBEqr_dNuvn5lmQRNi8a7P55lQo3qYTuXW57ik&dib_tag=se&keywords=dyson%2B11&qid=1713869982&sprefix=dyson%2B11%2Caps%2C475&sr=8-6&th=1
HA001,Amazon,Dyson V11,Home Appliances,"Great product for the price.",Positive,https://www.amazon.com/Dyson-Outsize-Cordless-Vacuum-Cleaner/dp/B0C2J9VLFW/ref=sr_1_6?crid=16N1T6WWM5Y8J&dib=eyJ2IjoiMSJ9.oMkfzqkLVX8HTBifpNXW6uYV0aEvsHBEUDuQcCZIQyMjnUoBcsJ-mXueFUPTVTjt1wcYchEwgG67Qb3QA6mqCBJ9EtCiIx8oqL-jbs48V0GW_1XNmnS05GwxtRf3icu_iRC8TQJfpt2tVMMrhbJ9tdPlLAgHgB3Hx3qal_j5gEqrQ51pAWsh56VuB05Zj2YRdnUHgqgRF6N7uMkfExTROlFGQ8mPW66LqmhieSWqW9w.AoNtJzBEqr_dNuvn5lmQRNi8a7P55lQo3qYTuXW57ik&dib_tag=se&keywords=dyson%2B11&qid=1713869982&sprefix=dyson%2B11%2Caps%2C475&sr=8-6&th=1
HA001,Amazon,Dyson V11,Home Appliances,"Cord is too short.",Negative,https://www.amazon.com/Dyson-Outsize-Cordless-Vacuum-Cleaner/dp/B0C2J9VLFW/ref=sr_1_6?crid=16N1T6WWM5Y8J&dib=eyJ2IjoiMSJ9.oMkfzqkLVX8HTBifpNXW6uYV0aEvsHBEUDuQcCZIQyMjnUoBcsJ-mXueFUPTVTjt1wcYchEwgG67Qb3QA6mqCBJ9EtCiIx8oqL-jbs48V0GW_1XNmnS05GwxtRf3icu_iRC8TQJfpt2tVMMrhbJ9tdPlLAgHgB3Hx3qal_j5gEqrQ51pAWsh56VuB05Zj2YRdnUHgqgRF6N7uMkfExTROlFGQ8mPW66LqmhieSWqW9w.AoNtJzBEqr_dNuvn5lmQRNi8a7P55lQo3qYTuXW57ik&dib_tag=se&keywords=dyson%2B11&qid=1713869982&sprefix=dyson%2B11%2Caps%2C475&sr=8-6&th=1
HA001,Amazon,Dyson V11,Home Appliances,"Perfect for small apartments.",Positive,https://www.amazon.com/Dyson-Outsize-Cordless-Vacuum-Cleaner/dp/B0C2J9VLFW/ref=sr_1_6?crid=16N1T6WWM5Y8J&dib=eyJ2IjoiMSJ9.oMkfzqkLVX8HTBifpNXW6uYV0aEvsHBEUDuQcCZIQyMjnUoBcsJ-mXueFUPTVTjt1wcYchEwgG67Qb3QA6mqCBJ9EtCiIx8oqL-jbs48V0GW_1XNmnS05GwxtRf3icu_iRC8TQJfpt2tVMMrhbJ9tdPlLAgHgB3Hx3qal_j5gEqrQ51pAWsh56VuB05Zj2YRdnUHgqgRF6N7uMkfExTROlFGQ8mPW66LqmhieSWqW9w.AoNtJzBEqr_dNuvn5lmQRNi8a7P55lQo3qYTuXW57ik&dib_tag=se&keywords=dyson%2B11&qid=1713869982&sprefix=dyson%2B11%2Caps%2C475&sr=8-6&th=1
HA001,Amazon,Dyson V11,Home Appliances,"A bit noisy but does the job.",Neutral,https://www.amazon.com/Dyson-Outsize-Cordless-Vacuum-Cleaner/dp/B0C2J9VLFW/ref=sr_1_6?crid=16N1T6WWM5Y8J&dib=eyJ2IjoiMSJ9.oMkfzqkLVX8HTBifpNXW6uYV0aEvsHBEUDuQcCZIQyMjnUoBcsJ-mXueFUPTVTjt1wcYchEwgG67Qb3QA6mqCBJ9EtCiIx8oqL-jbs48V0GW_1XNmnS05GwxtRf3icu_iRC8TQJfpt2tVMMrhbJ9tdPlLAgHgB3Hx3qal_j5gEqrQ51pAWsh56VuB05Zj2YRdnUHgqgRF6N7uMkfExTROlFGQ8mPW66LqmhieSWqW9w.AoNtJzBEqr_dNuvn5lmQRNi8a7P55lQo3qYTuXW57ik&dib_tag=se&keywords=dyson%2B11&qid=1713869982&sprefix=dyson%2B11%2Caps%2C475&sr=8-6&th=1
HA001,Amazon,Dyson V11,Home Appliances,"Doesn't pick up larger debris.",Negative,https://www.amazon.com/Dyson-Outsize-Cordless-Vacuum-Cleaner/dp/B0C2J9VLFW/ref=sr_1_6?crid=16N1T6WWM5Y8J&dib=eyJ2IjoiMSJ9.oMkfzqkLVX8HTBifpNXW6uYV0aEvsHBEUDuQcCZIQyMjnUoBcsJ-mXueFUPTVTjt1wcYchEwgG67Qb3QA6mqCBJ9EtCiIx8oqL-jbs48V0GW_1XNmnS05GwxtRf3icu_iRC8TQJfpt2tVMMrhbJ9tdPlLAgHgB3Hx3qal_j5gEqrQ51pAWsh56VuB05Zj2YRdnUHgqgRF6N7uMkfExTROlFGQ8mPW66LqmhieSWqW9w.AoNtJzBEqr_dNuvn5lmQRNi8a7P55lQo3qYTuXW57ik&dib_tag=se&keywords=dyson%2B11&qid=1713869982&sprefix=dyson%2B11%2Caps%2C475&sr=8-6&th=1
HA001,Amazon,Dyson V11,Home Appliances,"Easy to clean and maintain.",Positive,https://www.amazon.com/Dyson-Outsize-Cordless-Vacuum-Cleaner/dp/B0C2J9VLFW/ref=sr_1_6?crid=16N1T6WWM5Y8J&dib=eyJ2IjoiMSJ9.oMkfzqkLVX8HTBifpNXW6uYV0aEvsHBEUDuQcCZIQyMjnUoBcsJ-mXueFUPTVTjt1wcYchEwgG67Qb3QA6mqCBJ9EtCiIx8oqL-jbs48V0GW_1XNmnS05GwxtRf3icu_iRC8TQJfpt2tVMMrhbJ9tdPlLAgHgB3Hx3qal_j5gEqrQ51pAWsh56VuB05Zj2YRdnUHgqgRF6N7uMkfExTROlFGQ8mPW66LqmhieSWqW9w.AoNtJzBEqr_dNuvn5lmQRNi8a7P55lQo3qYTuXW57ik&dib_tag=se&keywords=dyson%2B11&qid=1713869982&sprefix=dyson%2B11%2Caps%2C475&sr=8-6&th=1
HA001,Amazon,Dyson V11,Home Appliances,"Quality seems a bit low.",Neutral,https://www.amazon.com/Dyson-Outsize-Cordless-Vacuum-Cleaner/dp/B0C2J9VLFW/ref=sr_1_6?crid=16N1T6WWM5Y8J&dib=eyJ2IjoiMSJ9.oMkfzqkLVX8HTBifpNXW6uYV0aEvsHBEUDuQcCZIQyMjnUoBcsJ-mXueFUPTVTjt1wcYchEwgG67Qb3QA6mqCBJ9EtCiIx8oqL-jbs48V0GW_1XNmnS05GwxtRf3icu_iRC8TQJfpt2tVMMrhbJ9tdPlLAgHgB3Hx3qal_j5gEqrQ51pAWsh56VuB05Zj2YRdnUHgqgRF6N7uMkfExTROlFGQ8mPW66LqmhieSWqW9w.AoNtJzBEqr_dNuvn5lmQRNi8a7P55lQo3qYTuXW57ik&dib_tag=se&keywords=dyson%2B11&qid=1713869982&sprefix=dyson%2B11%2Caps%2C475&sr=8-6&th=1
